Respondent_ID,Survey_Date,Q1_Age_Group,Q2_Gender,Q3_City,City_Tier,Q4_Income_Band,Q5_Education,Q6_Occupation,Q7_Marital_Status,Q8_Skin_Type,Q9_Skin_Concerns,Q10_Skin_Tone,Q11_Medical_Conditions,Q12_Past_Skin_Failure,Q13_Outdoor_Hrs,Q14_AC_Exposure,Q15_Stress_Level,Q16_Sleep_Hours,Q17_Exercise_Freq,Q18_Food_Type,Q19_Spice_Level,Q20a_Confidence,Q20b_Trendsetter,Q20c_BrandLoyal,Q20d_HealthInvest,Q20e_ChemWorry,Q21_Shopping_Personality,Q22_Trust_Source,Q23_Ingredient_Literacy,Q24_Eco_Importance,Q25_Daily_Products,Q26_Products_Used,Q27_Formulation_Pref,Q28_Traditional_Wear,Q29_Saree_Colors,Q30_Current_Spend,Q31_WTP_Band,Q31_WTP_INR,Q32_Purchase_Channel,Q33_AI_Comfort,Q34_Existing_Subs,Q35_Discovery_Channels,Q36_Satisfaction,Q37_Intent,Q37_Intent_Binary,Age_Numeric,Income_Numeric,Psychographic_Score,Wellness_Index,Engagement_Score
RESP1530,2024-03-10,36-45,Male,Bengaluru,Tier-1,40K-75K,Doctoral/Professional,Self-Employed/Business,Single,Combination,Dryness/Flakiness|Fine Lines/Aging,Dusky/Olive,None,Yes-Multiple Times,<1 hr,4-7 hrs,4.0,7-8 hrs,3-4x/week,Non-Veg Occasional,4.3,4.1,3.0,1.6,3.3,2.2,Research-First,Close Friend/Family,Understand most ingredients,3.6,8+ Products,Moisturiser/Day Cream|Sunscreen/SPF|Sheet Mask/Clay Mask|Toner/Mist|Face Wash/Cleanser|Niacinamide Serum,Science-backed/Clinical,Festivals/Occasions Only,Dont Wear Ethnic,Rs1-300,1500-2499,2000.0,Nykaa/Purplle/Tira|Amazon/Flipkart|Local Pharmacy,2.4,No-Open to It,Instagram/Reels|Friends/Family|Influencer Reco|Ads (App/TV),1.9,Probably Yes - Trial First,Interested,40,57000,3.47,2.67,2.53
RESP1531,2024-04-27,46+,Male,Delhi/Ncr,Tier-1,Above 1.2L,High School or Below,Self-Employed/Business,Married-With Children,Sensitive,No Concern-Maintenance,Dusky/Olive,None,No-Lucky So Far,3-5 hrs,4-7 hrs,3.7,7-8 hrs,3-4x/week,Non-Veg Regular,1.9,4.2,2.1,3.6,2.5,3.2,Loyal Buyer,Self Research Only,Expert - research every ingredient,1.7,1-2 Products,Vitamin C Serum|Under-eye Cream|Moisturiser/Day Cream|Face Wash/Cleanser|Ayurvedic/Herbal Products|Sunscreen/SPF|Hyaluronic Acid/Hydration|Retinol/Anti-aging Serum,Mix of Both,Festivals/Occasions Only,Dont Wear Ethnic,Above Rs2500,1500-2499,2000.0,Nykaa/Purplle/Tira|Amazon/Flipkart,3.0,No-Prefer One-time,YouTube Reviews|Friends/Family|Influencer Reco,3.7,Definitely Yes,Interested,52,150000,2.93,2.77,3.07
RESP1532,2024-04-07,46+,Female,Bengaluru,Tier-1,Above 1.2L,Postgraduate,Retired,Single,Oily,Oiliness/Enlarged Pores,Wheatish/Medium,PCOS/PCOD|Known Skin Allergies,Yes-Once or Twice,>5 hrs,>7 hrs,3.6,5-6 hrs,3-4x/week,Vegetarian+Eggs,3.6,1.4,1.0,2.5,3.4,4.0,Research-First,Close Friend/Family,Expert - research every ingredient,2.6,5-7 Products,Ayurvedic/Herbal Products|Vitamin C Serum|Moisturiser/Day Cream|Under-eye Cream|Collagen/Biotin Supplements|Sunscreen/SPF|Niacinamide Serum|Face Wash/Cleanser,Mix of Both,Rarely/Never,Blue/Navy,Rs701-1200,1500-2499,2000.0,Amazon/Flipkart|Social Commerce,1.7,Yes-One Sub,Instagram/Reels,2.5,Undecided,Not Interested,52,150000,1.93,2.47,2.53
RESP1533,2024-02-25,29-35,Female,Hyderabad,Tier-1,Below 20K,Postgraduate,Student,Single,Dry,Dryness/Flakiness,Fair,Chronic Acne (Diagnosed),No-Lucky So Far,<1 hr,4-7 hrs,2.4,7-8 hrs,1-2x/week,Purely Vegetarian,2.3,4.1,3.0,2.0,3.5,3.1,Loyal Buyer,Social Media Influencer,Know a few key ingredients,3.2,3-4 Products,Sheet Mask/Clay Mask|Night Cream/Overnight Mask|Face Wash/Cleanser|Hyaluronic Acid/Hydration|Moisturiser/Day Cream|Sunscreen/SPF,Science-backed/Clinical,Festivals/Occasions Only,Red/Maroon|Pink/Rose,Rs301-700,Lt300,150.0,Beauty Salon/Spa,2.7,No-Open to It,YouTube Reviews|Friends/Family|Dermatologist/Doctor|Influencer Reco,3.8,Undecided,Not Interested,32,15000,3.53,2.87,3.33
RESP1534,2024-09-16,36-45,Male,Ahmedabad,Tier-2,Below 20K,Postgraduate,Salaried-Government,Single,Normal,Fine Lines/Aging|Sun Damage/Tanning,Wheatish/Medium,None,Yes-Multiple Times,3-5 hrs,>7 hrs,2.4,>8 hrs,Never,Vegetarian+Eggs,2.5,2.1,2.0,3.2,2.7,3.2,Deal Seeker,Dermatologist/Skin Specialist,Expert - research every ingredient,2.8,1-2 Products,Face Wash/Cleanser|Moisturiser/Day Cream|Sheet Mask/Clay Mask|Ayurvedic/Herbal Products|Sunscreen/SPF,Natural/Ayurvedic Only,Rarely/Never,Dont Wear Ethnic,Rs1-300,1500-2499,2000.0,Nykaa/Purplle/Tira|Local Pharmacy|Social Commerce,3.3,Yes-Multiple Subs,Instagram/Reels|Dermatologist/Doctor,2.1,Probably Yes - Trial First,Interested,40,15000,2.27,2.87,2.7
RESP1535,2024-11-17,46+,Male,Ahmedabad,Tier-2,20K-40K,Undergraduate,Salaried-Private,Married-No Children,Oily,No Concern-Maintenance,Dusky/Olive,Eczema/Psoriasis,Yes-Once or Twice,1-2 hrs,>7 hrs,3.3,<5 hrs,1-2x/week,Non-Veg Occasional,3.7,1.6,2.9,4.1,2.4,4.0,Social Follower,Social Media Influencer,Understand most ingredients,2.7,5-7 Products,Face Wash/Cleanser|Niacinamide Serum|Sheet Mask/Clay Mask|Ayurvedic/Herbal Products|Sunscreen/SPF|Toner/Mist|Moisturiser/Day Cream,Science-backed/Clinical,Festivals/Occasions Only,Dont Wear Ethnic,Rs1-300,300-599,450.0,Local Pharmacy|Beauty Salon/Spa,2.2,Yes-Multiple Subs,Instagram/Reels|YouTube Reviews|Friends/Family,4.5,Undecided,Not Interested,52,30000,2.3,1.9,3.03
RESP1536,2024-12-15,36-45,Male,Chennai,Tier-1,75K-1.2L,Undergraduate,Salaried-Private,Married-With Children,Combination,Dullness/Uneven Tone|Fine Lines/Aging|Dark Circles/Puffy Eyes,Dusky/Olive,None,Yes-Multiple Times,1-2 hrs,>7 hrs,2.5,7-8 hrs,Daily,Purely Vegetarian,2.6,4.6,2.7,2.7,2.2,4.5,Early Adopter,Social Media Influencer,Read but understand little,2.4,8+ Products,Niacinamide Serum|Toner/Mist|Vitamin C Serum|Under-eye Cream|Face Wash/Cleanser|Moisturiser/Day Cream|Sunscreen/SPF,Natural/Ayurvedic Only,Festivals/Occasions Only,Dont Wear Ethnic,Above Rs2500,2500plus,3000.0,Nykaa/Purplle/Tira|Amazon/Flipkart|Local Pharmacy,3.6,Yes-Multiple Subs,Instagram/Reels|YouTube Reviews|Ads (App/TV),1.6,Undecided,Not Interested,40,97000,3.17,3.5,2.47
RESP1537,2024-05-26,23-28,Female,Jaipur,Tier-2,Above 1.2L,Doctoral/Professional,Student,Married-With Children,Oily,No Concern-Maintenance,Wheatish/Medium,Rosacea|PCOS/PCOD,Yes-Once or Twice,3-5 hrs,4-7 hrs,3.5,<5 hrs,Daily,Purely Vegetarian,2.7,2.5,3.1,3.6,4.1,2.9,Social Follower,Dermatologist/Skin Specialist,Understand most ingredients,2.0,None,Moisturiser/Day Cream|Retinol/Anti-aging Serum|Under-eye Cream|Vitamin C Serum|Niacinamide Serum|Toner/Mist|Sunscreen/SPF|Collagen/Biotin Supplements,No Preference,Daily,White/Cream|Orange/Saffron,Rs1201-2500,600-999,800.0,Amazon/Flipkart|Local Pharmacy,3.7,No-Open to It,Instagram/Reels|In-store Trial,2.9,Definitely Yes,Interested,25,150000,3.23,2.5,3.57
RESP1538,2024-03-03,23-28,Male,Mumbai,Tier-1,40K-75K,Undergraduate,Salaried-Government,Single,Normal,Oiliness/Enlarged Pores|No Concern-Maintenance,Dusky/Olive,None,No-Lucky So Far,<1 hr,>7 hrs,1.2,<5 hrs,Daily,Purely Vegetarian,2.5,2.8,4.4,3.8,2.6,1.7,Social Follower,Social Media Influencer,Know a few key ingredients,2.5,8+ Products,Face Wash/Cleanser|Sunscreen/SPF|Moisturiser/Day Cream,No Preference,Festivals/Occasions Only,Dont Wear Ethnic,Rs701-1200,600-999,800.0,Nykaa/Purplle/Tira|Social Commerce,1.7,No-Open to It,Influencer Reco|Ads (App/TV),2.1,Undecided,Not Interested,25,57000,3.27,3.27,2.13
RESP1539,2024-07-06,18-22,Male,Mumbai,Tier-1,40K-75K,Postgraduate,Salaried-Private,Single,Dry,Dullness/Uneven Tone,Dark,Known Skin Allergies|Rosacea,Yes-Once or Twice,3-5 hrs,4-7 hrs,2.7,5-6 hrs,Never,Purely Vegetarian,4.8,4.3,2.3,3.9,3.8,1.7,Research-First,Dermatologist/Skin Specialist,Read but understand little,3.7,1-2 Products,Night Cream/Overnight Mask|Sunscreen/SPF|Hyaluronic Acid/Hydration|Moisturiser/Day Cream|Face Wash/Cleanser|Sheet Mask/Clay Mask,Mix of Both,Festivals/Occasions Only,Dont Wear Ethnic,Rs301-700,1000-1499,1250.0,Local Pharmacy,2.1,Yes-One Sub,Instagram/Reels,2.9,Probably Yes - Trial First,Interested,20,57000,3.47,2.1,2.93
RESP1540,2024-11-24,46+,Male,Delhi/Ncr,Tier-1,20K-40K,Postgraduate,Student,Single,Dry,No Concern-Maintenance,Very Fair,None,Yes-Once or Twice,<1 hr,>7 hrs,4.7,7-8 hrs,1-2x/week,Non-Veg Regular,2.6,3.1,2.3,2.5,3.3,2.3,Social Follower,Close Friend/Family,Understand most ingredients,2.7,1-2 Products,Sunscreen/SPF|Night Cream/Overnight Mask|Moisturiser/Day Cream|Hyaluronic Acid/Hydration|Ayurvedic/Herbal Products|Face Wash/Cleanser,Natural/Ayurvedic Only,Rarely/Never,Dont Wear Ethnic,Rs1-300,1500-2499,2000.0,Nykaa/Purplle/Tira|Brand Website D2C,1.6,Yes-Multiple Subs,Instagram/Reels|YouTube Reviews,2.1,Probably Yes - Trial First,Interested,52,30000,2.9,2.1,2.33
RESP1541,2024-05-12,29-35,Male,Kolkata,Tier-1,75K-1.2L,Postgraduate,Salaried-Government,Married-No Children,Combination,Oiliness/Enlarged Pores|Fine Lines/Aging|Sun Damage/Tanning,Wheatish/Medium,None,Yes-Multiple Times,1-2 hrs,>7 hrs,3.5,7-8 hrs,3-4x/week,Purely Vegetarian,3.2,3.2,1.1,2.2,4.1,2.1,Social Follower,Social Media Influencer,Know a few key ingredients,3.3,None,Ayurvedic/Herbal Products|Toner/Mist|Moisturiser/Day Cream|Vitamin C Serum|Sheet Mask/Clay Mask|Under-eye Cream|Face Wash/Cleanser|Sunscreen/SPF,Natural/Ayurvedic Only,Festivals/Occasions Only,Dont Wear Ethnic,Rs1201-2500,1500-2499,2000.0,Nykaa/Purplle/Tira|Local Pharmacy|Beauty Salon/Spa,3.3,No-Open to It,Instagram/Reels,1.2,Definitely Yes,Interested,32,97000,2.8,2.83,2.87
RESP1542,2024-01-02,23-28,Male,Bengaluru,Tier-1,Prefer Not to Say,Postgraduate,Self-Employed/Business,Divorced/Separated/Widowed,Oily,No Concern-Maintenance,Dusky/Olive,None,No-Lucky So Far,3-5 hrs,>7 hrs,3.3,5-6 hrs,3-4x/week,Purely Vegetarian,3.0,3.2,2.6,2.3,3.9,1.3,Research-First,Social Media Influencer,Understand most ingredients,4.1,8+ Products,Niacinamide Serum|Toner/Mist|Sunscreen/SPF|Face Wash/Cleanser|Moisturiser/Day Cream|Ayurvedic/Herbal Products,Mix of Both,Festivals/Occasions Only,Dont Wear Ethnic,Rs301-700,300-599,450.0,Local Pharmacy|Social Commerce,3.0,Yes-One Sub,Instagram/Reels|YouTube Reviews|Online Search/Blogs|In-store Trial|Ads (App/TV),2.3,Probably Yes - Trial First,Interested,25,45000,3.23,2.57,3.07
RESP1543,2024-11-29,29-35,Female,Bengaluru,Tier-1,20K-40K,Postgraduate,Self-Employed/Business,Single,Oily,Acne/Pimples|Oiliness/Enlarged Pores,Wheatish/Medium,None,No-Avoid New Products,1-2 hrs,>7 hrs,4.9,7-8 hrs,3-4x/week,Non-Veg Occasional,3.4,3.7,3.2,3.9,3.4,4.8,Deal Seeker,Self Research Only,Understand most ingredients,3.6,5-7 Products,Face Wash/Cleanser|Toner/Mist|Sunscreen/SPF|Moisturiser/Day Cream|Niacinamide Serum|Sheet Mask/Clay Mask,Mix of Both,Festivals/Occasions Only,Dont Wear Ethnic,Rs301-700,1500-2499,2000.0,Nykaa/Purplle/Tira|Brand Website D2C,1.3,No-Open to It,YouTube Reviews|Online Search/Blogs|Influencer Reco|In-store Trial,4.2,Undecided,Not Interested,32,30000,3.43,2.37,2.97
RESP1544,2024-06-07,29-35,Female,Chennai,Tier-1,40K-75K,Undergraduate,Freelancer/Gig,Single,Dry,Fine Lines/Aging,Dusky/Olive,Rosacea,No-Lucky So Far,1-2 hrs,4-7 hrs,1.0,7-8 hrs,3-4x/week,Non-Veg Regular,2.6,3.2,2.3,3.8,3.7,3.5,Loyal Buyer,Self Research Only,Know a few key ingredients,2.0,None,Night Cream/Overnight Mask|Hyaluronic Acid/Hydration|Sunscreen/SPF|Face Wash/Cleanser|Moisturiser/Day Cream|Sheet Mask/Clay Mask,No Preference,Rarely/Never,Blue/Navy,Rs1-300,1000-1499,1250.0,Amazon/Flipkart|Dont Buy Skincare,2.2,Yes-Multiple Subs,Friends/Family|Dermatologist/Doctor|Ads (App/TV),2.1,Probably Yes - Trial First,Interested,32,57000,3.07,3.67,2.67
RESP1545,2024-12-07,23-28,Female,Nagpur,Tier-2,Below 20K,Postgraduate,Salaried-Private,Single,Dry,Dark Spots/Pigmentation|Dark Circles/Puffy Eyes,Wheatish/Medium,Diabetes,No-Avoid New Products,>5 hrs,1-3 hrs,2.4,5-6 hrs,1-2x/week,Purely Vegetarian,3.0,3.5,3.2,2.3,3.5,2.5,Early Adopter,Brand Itself,Read but understand little,3.5,3-4 Products,Face Wash/Cleanser|Sunscreen/SPF|Moisturiser/Day Cream|Ayurvedic/Herbal Products|Hyaluronic Acid/Hydration|Night Cream/Overnight Mask|Sheet Mask/Clay Mask,No Preference,Festivals/Occasions Only,Blue/Navy,Rs701-1200,Lt300,150.0,Amazon/Flipkart,3.2,Yes-One Sub,Instagram/Reels|YouTube Reviews|Friends/Family|Online Search/Blogs,3.3,Undecided,Not Interested,25,15000,3.4,2.53,3.33
RESP1546,2024-02-09,18-22,Female,Mumbai,Tier-1,40K-75K,Postgraduate,Retired,Married-With Children,Combination,Dark Spots/Pigmentation|Dryness/Flakiness,Very Dark,PCOS/PCOD|Diabetes,No-Avoid New Products,>5 hrs,1-3 hrs,2.7,7-8 hrs,Never,Purely Vegetarian,3.6,2.9,2.6,5.0,3.1,3.0,Research-First,Self Research Only,Understand most ingredients,4.0,1-2 Products,Sheet Mask/Clay Mask|Moisturiser/Day Cream|Face Wash/Cleanser|Toner/Mist|Niacinamide Serum|Sunscreen/SPF,Natural/Ayurvedic Only,Few Times/Week,Green/Teal,Rs701-1200,1000-1499,1250.0,Nykaa/Purplle/Tira|Amazon/Flipkart|Brand Website D2C|Supermarket|Beauty Salon/Spa,3.0,No-Open to It,Instagram/Reels|YouTube Reviews|Online Search/Blogs|Influencer Reco,2.9,Probably Yes - Trial First,Interested,20,57000,2.87,2.43,3.0
RESP1547,2024-05-06,29-35,Female,Jaipur,Tier-2,40K-75K,Undergraduate,Homemaker,Married-With Children,Combination,Sun Damage/Tanning|Redness/Irritation,Very Fair,Known Skin Allergies|Eczema/Psoriasis,Yes-Once or Twice,>5 hrs,>7 hrs,3.9,7-8 hrs,1-2x/week,Non-Veg Regular,2.4,3.7,1.5,2.2,4.4,1.2,Early Adopter,Dermatologist/Skin Specialist,Know a few key ingredients,2.6,5-7 Products,Toner/Mist|Niacinamide Serum|Sunscreen/SPF|Moisturiser/Day Cream|Face Wash/Cleanser,No Preference,Rarely/Never,Blue/Navy|Purple/Violet|Red/Maroon,Rs1201-2500,1000-1499,1250.0,Local Pharmacy|Supermarket|Beauty Salon/Spa,4.1,No-Prefer One-time,Instagram/Reels|YouTube Reviews|Ads (App/TV),2.5,Definitely Yes,Interested,32,57000,3.2,2.37,3.67
RESP1548,2024-07-05,29-35,Female,Lucknow,Tier-2,20K-40K,Undergraduate,Salaried-Private,Married-With Children,Combination,Acne/Pimples|Dark Spots/Pigmentation,Wheatish/Medium,Eczema/Psoriasis,No-Lucky So Far,3-5 hrs,1-3 hrs,3.9,7-8 hrs,Never,Vegetarian+Eggs,4.2,3.7,3.1,4.1,3.3,4.2,Deal Seeker,Doctor/GP,Never read,1.7,3-4 Products,Sheet Mask/Clay Mask|Toner/Mist|Niacinamide Serum|Moisturiser/Day Cream|Sunscreen/SPF|Face Wash/Cleanser,Natural/Ayurvedic Only,Rarely/Never,Orange/Saffron,Rs1-300,1000-1499,1250.0,Amazon/Flipkart|Local Pharmacy,1.7,No-Prefer One-time,Instagram/Reels|YouTube Reviews|Influencer Reco,4.5,Undecided,Not Interested,32,30000,3.37,2.03,3.17
RESP1549,2024-08-10,36-45,Female,Surat,Tier-2,40K-75K,High School or Below,Student,Married-With Children,Combination,Acne/Pimples|Dark Circles/Puffy Eyes,Fair,PCOS/PCOD|Thyroid Disorder,Yes-Once or Twice,>5 hrs,4-7 hrs,2.3,7-8 hrs,1-2x/week,Non-Veg Regular,4.3,5.0,2.6,4.6,3.5,1.1,Deal Seeker,Dermatologist/Skin Specialist,Read but understand little,2.7,None,Toner/Mist|Sheet Mask/Clay Mask|Face Wash/Cleanser|Moisturiser/Day Cream|Sunscreen/SPF|Niacinamide Serum,Mix of Both,Festivals/Occasions Only,Yellow/Gold|Blue/Navy,Rs701-1200,1000-1499,1250.0,Nykaa/Purplle/Tira|Amazon/Flipkart,2.9,No-Open to It,YouTube Reviews,2.6,Probably Yes - Trial First,Interested,40,57000,3.7,2.9,3.0
RESP1550,2024-12-04,29-35,Female,Other Tier-2,Tier-2,20K-40K,Doctoral/Professional,Salaried-Private,Married-No Children,Dry,Dryness/Flakiness|Redness/Irritation,Fair,None,No-Avoid New Products,>5 hrs,4-7 hrs,4.0,5-6 hrs,Never,Purely Vegetarian,3.7,3.1,2.9,3.3,2.5,3.5,Loyal Buyer,Dermatologist/Skin Specialist,Read but understand little,3.3,5-7 Products,Moisturiser/Day Cream|Night Cream/Overnight Mask|Hyaluronic Acid/Hydration|Sunscreen/SPF|Face Wash/Cleanser,Mix of Both,Rarely/Never,Pastels/Muted|Black/Charcoal,Rs0,1500-2499,2000.0,Amazon/Flipkart|Brand Website D2C|Local Pharmacy,1.9,No-Open to It,Instagram/Reels|YouTube Reviews|Ads (App/TV),3.0,Undecided,Not Interested,32,30000,2.83,1.67,2.47
RESP1551,2024-10-22,36-45,Female,Mumbai,Tier-1,40K-75K,High School or Below,Salaried-Private,Single,Oily,Acne/Pimples,Wheatish/Medium,Diabetes|PCOS/PCOD,Yes-Once or Twice,1-2 hrs,4-7 hrs,2.7,7-8 hrs,1-2x/week,Purely Vegetarian,3.3,3.2,2.2,2.5,3.8,1.2,Research-First,Doctor/GP,Know a few key ingredients,3.6,3-4 Products,Sunscreen/SPF|Face Wash/Cleanser|Toner/Mist|Moisturiser/Day Cream|Niacinamide Serum|Ayurvedic/Herbal Products|Sheet Mask/Clay Mask,Mix of Both,Festivals/Occasions Only,Green/Teal|Blue/Navy|Red/Maroon,Rs301-700,1500-2499,2000.0,Amazon/Flipkart|Dont Buy Skincare,3.0,No-Open to It,Instagram/Reels|YouTube Reviews,3.0,Probably Yes - Trial First,Interested,40,57000,3.07,2.77,3.27
RESP1552,2024-09-11,29-35,Male,Delhi/Ncr,Tier-1,40K-75K,Postgraduate,Salaried-Government,Single,Combination,Acne/Pimples|Dark Spots/Pigmentation,Fair,None,No-Lucky So Far,1-2 hrs,>7 hrs,4.2,5-6 hrs,3-4x/week,Purely Vegetarian,1.0,3.6,2.1,2.5,3.1,2.6,Early Adopter,Self Research Only,Never read,2.6,5-7 Products,Ayurvedic/Herbal Products|Face Wash/Cleanser|Niacinamide Serum|Sheet Mask/Clay Mask|Toner/Mist|Sunscreen/SPF|Moisturiser/Day Cream,Mix of Both,Daily,Dont Wear Ethnic,Rs301-700,1000-1499,1250.0,Nykaa/Purplle/Tira|Dont Buy Skincare,2.7,No-Prefer One-time,Instagram/Reels|Friends/Family|Dermatologist/Doctor|In-store Trial,4.2,Undecided,Not Interested,32,57000,2.93,2.27,3.33
RESP1553,2024-06-19,29-35,Male,Patna,Tier-2,Below 20K,Undergraduate,Salaried-Government,Married-With Children,Normal,Redness/Irritation,Very Dark,None,Yes-Multiple Times,<1 hr,4-7 hrs,2.2,7-8 hrs,Daily,Purely Vegetarian,3.6,4.3,3.0,3.0,3.2,4.2,Research-First,Close Friend/Family,Read but understand little,1.3,3-4 Products,Sunscreen/SPF|Moisturiser/Day Cream|Face Wash/Cleanser,Mix of Both,Festivals/Occasions Only,Dont Wear Ethnic,Rs701-1200,Lt300,150.0,Amazon/Flipkart,3.2,No-Prefer One-time,Instagram/Reels|YouTube Reviews|In-store Trial,1.7,Undecided,Not Interested,32,15000,3.5,3.6,2.7
RESP1554,2024-01-12,36-45,Female,Pune,Tier-2,75K-1.2L,Undergraduate,Self-Employed/Business,Married-With Children,Oily,No Concern-Maintenance,Dark,Thyroid Disorder,No-Lucky So Far,1-2 hrs,>7 hrs,3.0,>8 hrs,3-4x/week,Non-Veg Regular,2.8,2.4,2.6,4.2,2.9,1.4,Loyal Buyer,Social Media Influencer,Know a few key ingredients,2.0,3-4 Products,Vitamin C Serum|Moisturiser/Day Cream|Face Wash/Cleanser|Sheet Mask/Clay Mask|Sunscreen/SPF|Niacinamide Serum|Toner/Mist|Under-eye Cream,Mix of Both,Rarely/Never,Pastels/Muted|Pink/Rose|Blue/Navy,Above Rs2500,1500-2499,2000.0,Amazon/Flipkart|Supermarket|Dont Buy Skincare,2.5,No-Prefer One-time,Friends/Family,4.7,Probably Yes - Trial First,Interested,40,97000,2.63,3.33,3.37
RESP1555,2024-12-11,23-28,Non-Binary,Ahmedabad,Tier-2,75K-1.2L,Postgraduate,Salaried-Private,Married-No Children,Dry,Dryness/Flakiness,Wheatish/Medium,PCOS/PCOD,No-Lucky So Far,>5 hrs,4-7 hrs,2.7,<5 hrs,1-2x/week,Vegan,3.0,3.5,4.5,2.1,3.5,2.9,Deal Seeker,Doctor/GP,Read but understand little,3.4,5-7 Products,Sunscreen/SPF|Under-eye Cream|Moisturiser/Day Cream|Night Cream/Overnight Mask|Face Wash/Cleanser|Ayurvedic/Herbal Products|Hyaluronic Acid/Hydration|Vitamin C Serum,Mix of Both,Festivals/Occasions Only,Blue/Navy|Green/Teal,Rs1201-2500,Would Not Subscribe,0.0,Nykaa/Purplle/Tira|Brand Website D2C,3.7,Yes-Multiple Subs,Dermatologist/Doctor|Ads (App/TV),4.1,Probably Yes - Trial First,Interested,25,97000,3.83,2.1,3.77
RESP1556,2024-09-16,18-22,Female,Lucknow,Tier-2,40K-75K,High School or Below,Student,Married-With Children,Dry,No Concern-Maintenance,Dusky/Olive,Chronic Acne (Diagnosed),Yes-Once or Twice,3-5 hrs,>7 hrs,4.1,7-8 hrs,Never,Non-Veg Regular,1.5,1.1,3.6,1.5,2.0,3.6,Reluctant Buyer,Social Media Influencer,Read but understand little,4.9,None,Face Wash/Cleanser|Sunscreen/SPF|Night Cream/Overnight Mask|Moisturiser/Day Cream|Hyaluronic Acid/Hydration,Natural/Ayurvedic Only,Daily,Black/Charcoal|Green/Teal,Rs701-1200,600-999,800.0,Nykaa/Purplle/Tira|Supermarket,2.2,Yes-One Sub,YouTube Reviews|Online Search/Blogs,3.2,Probably No,Not Interested,20,57000,2.23,1.97,2.47
RESP1557,2024-04-24,18-22,Female,Lucknow,Tier-2,Below 20K,Postgraduate,Homemaker,Married-With Children,Combination,Acne/Pimples|Sun Damage/Tanning,Wheatish/Medium,None,Yes-Multiple Times,3-5 hrs,1-3 hrs,2.6,7-8 hrs,Never,Non-Veg Regular,3.6,3.2,3.3,3.5,4.1,3.5,Deal Seeker,Brand Itself,Expert - research every ingredient,3.1,1-2 Products,Toner/Mist|Sheet Mask/Clay Mask|Ayurvedic/Herbal Products|Niacinamide Serum|Moisturiser/Day Cream|Sunscreen/SPF|Face Wash/Cleanser,Mix of Both,Daily,Pastels/Muted|Red/Maroon|Purple/Violet,Rs1-300,600-999,800.0,Nykaa/Purplle/Tira|Brand Website D2C|Local Pharmacy|Beauty Salon/Spa,1.9,Yes-One Sub,Instagram/Reels|YouTube Reviews|Online Search/Blogs|In-store Trial,3.4,Probably Yes - Trial First,Interested,20,15000,3.53,2.47,3.13
RESP1558,2024-11-10,36-45,Female,Other Tier-2,Tier-2,75K-1.2L,Postgraduate,Salaried-Private,Married-With Children,Combination,No Concern-Maintenance,Dark,None,No-Lucky So Far,<1 hr,1-3 hrs,3.1,7-8 hrs,Daily,Non-Veg Regular,1.9,4.4,2.6,3.7,3.6,3.1,Research-First,Doctor/GP,Understand most ingredients,4.3,5-7 Products,Moisturiser/Day Cream|Under-eye Cream|Sheet Mask/Clay Mask|Face Wash/Cleanser|Toner/Mist|Vitamin C Serum|Niacinamide Serum|Sunscreen/SPF,No Preference,Rarely/Never,Black/Charcoal,Rs0,1500-2499,2000.0,Amazon/Flipkart|Brand Website D2C|Local Pharmacy,3.1,No-Open to It,Instagram/Reels|Dermatologist/Doctor|Online Search/Blogs|Ads (App/TV),2.7,Definitely Yes,Interested,40,97000,3.53,3.3,3.13
RESP1559,2024-02-18,29-35,Female,Rural/Small Town,Tier-3,Prefer Not to Say,Postgraduate,Retired,Married-No Children,Oily,Acne/Pimples|Oiliness/Enlarged Pores|Sun Damage/Tanning,Dusky/Olive,None,Yes-Once or Twice,<1 hr,>7 hrs,3.6,5-6 hrs,1-2x/week,Non-Veg Occasional,3.3,2.7,1.0,5.0,3.2,3.5,Social Follower,Self Research Only,Know a few key ingredients,2.1,5-7 Products,Moisturiser/Day Cream|Ayurvedic/Herbal Products|Face Wash/Cleanser|Toner/Mist|Niacinamide Serum|Sunscreen/SPF,Mix of Both,Rarely/Never,White/Cream|Purple/Violet,Rs1201-2500,1000-1499,1250.0,Nykaa/Purplle/Tira|Supermarket,4.8,No-Open to It,Friends/Family|Online Search/Blogs|Influencer Reco|In-store Trial|Ads (App/TV),3.0,Probably Yes - Trial First,Interested,32,45000,2.3,2.13,3.67
RESP1560,2024-09-17,29-35,Male,Chandigarh,Tier-2,20K-40K,Undergraduate,Student,Married-With Children,Combination,Dark Spots/Pigmentation|Fine Lines/Aging,Very Fair,PCOS/PCOD,Yes-Once or Twice,1-2 hrs,4-7 hrs,3.6,>8 hrs,Never,Non-Veg Regular,4.0,3.6,2.0,2.0,2.4,2.4,Research-First,Dermatologist/Skin Specialist,Understand most ingredients,2.5,5-7 Products,Moisturiser/Day Cream|Toner/Mist|Face Wash/Cleanser|Niacinamide Serum|Sheet Mask/Clay Mask|Sunscreen/SPF,No Preference,Few Times/Week,Dont Wear Ethnic,Rs701-1200,1500-2499,2000.0,Amazon/Flipkart,1.4,Yes-One Sub,Instagram/Reels|Ads (App/TV),3.2,Probably Yes - Trial First,Interested,32,30000,2.67,2.47,2.33
